Date,AAPL,ABBV,ABT,ADBE,ALL,AMD,AMGN,AMT,AMZN,APD,ASML,AVGO,BA,BABA,BAC,BIIB,BMY,BNDX,BRK-B,BTC-USD,C,CAT,CI,CL,CMCSA,CMI,COP,COST,CRM,CVS,CVX,DAL,DBA,DE,DHR,DIS,ECL,ENPH,EQIX,ETH-USD,EWA,EWC,EWG,EWJ,EWT,EWU,EWW,EWY,EWZ,FCX,FDX,FXI,GD,GDX,GILD,GLD,GOOGL,GS,HD,HUM,HYG,IEF,INDA,INTC,INTU,ISRG,IWM,JNJ,JNK,JPM,KO,LIN,LLY,LMT,LQD,MA,MCD,MCHI,MELI,META,MRK,MS,MSFT,MTUM,MU,NEE,NEM,NFLX,NKE,NOW,NVDA,NVO,OXY,PEP,PFE,PG,PGR,PLD,PSA,PYPL,QCOM,QQQ,QUAL,REGN,RTX,SAP,SBUX,SHOP,SHY,SLB,SLV,SPG,SPY,TEAM,TLT,TMO,TRV,TSLA,TSM,UNG,UNH,UPS,USMV,USO,V,VRTX,VTV,VUG,WDAY,WFC,WMT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM,^VIX
2024-02-03,,,,,,,,,,,,,,,,,,,,42992.25,,,,,,,,,,,,,,,,,,,,2296.038330078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-04,,,,,,,,,,,,,,,,,,,,42583.58203125,,,,,,,,,,,,,,,,,,,,2289.546142578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,185.92413330078125,159.87741088867188,107.40480041503906,630.5,150.65957641601562,174.22999572753906,302.6745910644531,177.05035400390625,170.30999755859375,206.85134887695312,884.4923095703125,121.5594253540039,206.6300048828125,71.82849884033203,31.44308090209961,241.83999633789062,43.498939514160156,44.664276123046875,390.760009765625,42658.66796875,51.34574508666992,312.3335876464844,309.7097473144531,80.32119750976562,39.142242431640625,230.96144104003906,103.39720153808594,703.4334716796875,284.65142822265625,66.73651885986328,139.56851196289062,38.3614616394043,20.131305694580078,375.1693115234375,243.23629760742188,94.73406219482422,191.6832733154297,97.80000305175781,801.37744140625,2298.888916015625,21.824716567993164,34.479270935058594,27.91289520263672,61.85953903198242,41.51803207397461,29.728275299072266,62.62919998168945,59.346099853515625,28.679025650024414,37.66522216796875,228.11900329589844,20.962358474731445,255.33297729492188,26.8475341796875,71.6939926147461,187.57000732421875,142.6025390625,366.4819030761719,338.2171630859375,352.0630798339844,68.27680969238281,87.87220001220703,49.75007629394531,42.20475769042969,632.4014892578125,383.94000244140625,187.59869384765625,146.53341674804688,82.3385238647461,167.17227172851562,56.590999603271484,390.5438537597656,696.4262084960938,399.1748352050781,99.32926940917969,451.5721130371094,272.8399963378906,34.90331268310547,1774.75,456.22314453125,118.3771743774414,80.95753479003906,399.6906433105469,170.35572814941406,86.32708740234375,52.741127014160156,32.00559997558594,56.20600128173828,95.7496566772461,156.96800231933594,69.29339599609375,113.83721160888672,54.86375427246094,159.25250244140625,23.31080436706543,150.27639770507812,167.64649963378906,118.67998504638672,252.98716735839844,61.39806365966797,138.15213012695312,423.7697448730469,151.1111297607422,931.1656494140625,88.4743881225586,173.27914428710938,87.82667541503906,81.4000015258789,75.67668151855469,45.90373611450195,20.469999313354492,123.83868408203125,480.6673583984375,215.0500030517578,86.51119232177734,548.1845703125,205.91506958007812,181.05999755859375,115.5745620727539,19.25,483.3044128417969,124.14729309082031,77.35363006591797,68.18000030517578,271.5607604980469,428.8900146484375,144.46250915527344,325.9043273925781,291.7300109863281,46.76304244995117,55.02739334106445,38.99143600463867,39.01470947265625,37.62704086303711,111.72865295410156,100.03649139404297,69.78881072998047,35.06626892089844,28.368074417114258,137.78012084960938,85.94568634033203,94.7237548828125,13.670000076293945
2024-02-06,187.52899169921875,161.77244567871094,109.66544342041016,607.1400146484375,151.1591339111328,167.8800048828125,297.1282043457031,179.1061248779297,169.14999389648438,206.8798065185547,890.7431640625,119.55967712402344,208.5800018310547,75.29336547851562,31.490734100341797,245.5500030517578,44.659393310546875,44.802005767822266,393.739990234375,43084.671875,51.20442581176758,313.6164245605469,315.7926330566406,79.98687744140625,38.74968338012695,240.95240783691406,104.85457611083984,703.0675659179688,282.3987731933594,67.95259094238281,139.58688354492188,39.280418395996094,20.18694305419922,377.9585876464844,245.59127807617188,97.32173156738281,195.9962615966797,100.51000213623047,802.9103393554688,2372.201904296875,22.07697105407715,34.75841522216797,28.11453628540039,61.85019302368164,42.3050537109375,30.1624698638916,63.852134704589844,59.393856048583984,29.45128631591797,39.116127014160156,231.00030517578125,22.15993309020996,257.41973876953125,27.200790405273438,72.637939453125,188.5500030517578,143.01939392089844,368.3668518066406,339.27423095703125,357.2608337402344,68.52562713623047,88.34577178955078,50.415260314941406,42.29877853393555,627.1693115234375,389.69000244140625,189.28955078125,148.6589813232422,82.67137908935547,167.74708557128906,56.49674606323242,405.0979919433594,695.2723999023438,404.1444091796875,99.8873519897461,455.2696533203125,271.58062744140625,36.805213928222656,1710.3900146484375,451.5656433105469,119.03387451171875,81.15548706054688,399.5330505371094,169.60870361328125,83.9649658203125,52.98612594604492,32.29341506958008,55.5880012512207,98.56413269042969,155.49000549316406,68.18502044677734,113.21153259277344,55.43183898925781,159.71835327148438,24.126728057861328,150.98878479003906,165.8888702392578,122.03717803955078,257.13037109375,63.56305694580078,138.2192840576172,422.9190979003906,151.3756866455078,932.637451171875,88.51276397705078,174.99197387695312,90.8266830444336,81.55999755859375,75.79700469970703,45.65174865722656,20.510000228881836,129.8137969970703,482.06292724609375,211.25999450683594,87.3567123413086,556.7906494140625,205.84742736816406,185.10000610351562,116.14859771728516,18.540000915527344,490.7131652832031,130.25291442871094,77.50858306884766,68.80999755859375,272.7235412597656,416.1300048828125,145.2462921142578,326.0033874511719,288.6300048828125,46.369354248046875,55.40259552001953,39.67998123168945,39.14115905761719,37.70472717285156,112.72978210449219,99.57752990722656,69.94978332519531,35.59856414794922,28.471731185913086,139.27951049804688,86.46680450439453,95.37671661376953,13.0600004196167
2024-02-07,187.637939453125,163.37814331054688,109.00167846679688,615.8499755859375,152.35995483398438,170.94000244140625,278.13873291015625,180.92831420898438,170.52999877929688,204.34658813476562,907.8119506835938,122.92454528808594,211.9199981689453,70.87565612792969,31.62416648864746,240.5399932861328,44.09729766845703,44.728553771972656,397.6600036621094,44318.22265625,51.38343048095703,314.46185302734375,318.65576171875,80.10150909423828,37.38882827758789,237.6667938232422,105.60676574707031,711.9598999023438,285.3726501464844,70.06228637695312,139.3852996826172,39.30974578857422,20.261125564575195,375.0915832519531,244.0476531982422,97.17469787597656,198.98594665527344,117.51000213623047,811.2650756835938,2423.7451171875,22.002229690551758,34.854671478271484,28.037721633911133,62.205322265625,42.601348876953125,29.977706909179688,63.75022888183594,60.4445686340332,29.302099227905273,38.17157745361328,231.77565002441406,21.671323776245117,258.7659912109375,26.945659637451172,69.5537338256836,188.5,144.44857788085938,369.9647521972656,345.4073791503906,359.4257507324219,68.64114379882812,88.18791198730469,50.524471282958984,42.33836364746094,634.9385986328125,391.3800048828125,188.8497314453125,148.583740234375,82.79402160644531,168.06321716308594,56.54387664794922,406.33599853515625,715.3408203125,407.1261291503906,99.59458923339844,456.6636047363281,274.1376037597656,36.29867935180664,1713.8699951171875,466.33251953125,119.58739471435547,81.06121826171875,407.9672546386719,172.3509979248047,84.53067779541016,53.12747573852539,32.2838249206543,55.93000030517578,99.69762420654297,158.0780029296875,70.05996704101562,114.22225952148438,55.479984283447266,159.7649383544922,24.17936897277832,151.14077758789062,167.63731384277344,120.71859741210938,259.4927062988281,63.094146728515625,139.93621826171875,427.2710266113281,153.14932250976562,933.313720703125,88.17704772949219,177.33120727539062,90.48490905761719,85.16999816894531,75.76922607421875,45.119258880615234,20.329999923706055,129.85906982421875,486.08349609375,209.4600067138672,86.93395233154297,548.870361328125,207.01675415039062,187.5800018310547,121.59701538085938,18.239999771118164,499.0923767089844,131.4311981201172,77.84756469726562,69.41999816894531,275.3151550292969,419.0799865722656,145.66683959960938,330.2326965332031,294.4200134277344,46.551788330078125,55.26230239868164,39.997764587402344,39.22077178955078,37.9863166809082,113.47821044921875,100.89521789550781,69.88349151611328,35.57988739013672,28.490577697753906,139.6567840576172,87.435302734375,95.34872436523438,12.829999923706055
2024-02-08,186.55816650390625,163.17276000976562,108.15514373779297,615.8599853515625,155.38601684570312,169.35000610351562,277.17987060546875,180.94700622558594,169.83999633789062,208.64453125,908.5109252929688,124.6553726196289,209.22000122070312,68.12301635742188,31.56698226928711,240.3000030517578,44.1607666015625,44.62754440307617,397.489990234375,45301.56640625,51.14789962768555,312.9167175292969,320.3332214355469,80.48358154296875,35.98434066772461,239.4005889892578,107.09233093261719,716.2922973632812,288.4453430175781,69.16867065429688,141.15359497070312,39.44661331176758,20.455854415893555,374.9749755859375,243.28578186035156,108.34871673583984,198.87811279296875,116.87999725341797,819.5048828125,2419.906494140625,21.974199295043945,34.84505081176758,28.095333099365234,62.04644775390625,43.08282470703125,29.85761070251465,62.56434631347656,60.4445686340332,28.70534896850586,37.119911193847656,231.41192626953125,21.173133850097656,258.6794738769531,26.78865623474121,68.97427368164062,188.3300018310547,144.81582641601562,368.41473388671875,346.3883056640625,358.6748962402344,68.60559844970703,87.9000473022461,50.137271881103516,42.061256408691406,644.7119140625,386.94000244140625,191.71347045898438,147.09768676757812,82.8115234375,167.4596710205078,56.393062591552734,403.5772705078125,725.4982299804688,404.1917419433594,99.0822525024414,453.0550537109375,278.5263671875,35.639225006103516,1732.8299560546875,466.7396545410156,118.78057098388672,80.73133087158203,408.0263977050781,173.0980224609375,84.24285125732422,53.042667388916016,31.986408233642578,55.85300064086914,99.67839813232422,159.8820037841797,69.60221862792969,113.96235656738281,55.894012451171875,161.98251342773438,24.188142776489258,150.68482971191406,168.36427307128906,123.1219482421875,262.897705078125,56.00054168701172,142.1327667236328,428.0623474121094,153.51190185546875,941.2098388671875,87.32337951660156,177.3116455078125,92.25181579589844,87.87000274658203,75.75071716308594,45.44255828857422,20.649999618530273,130.45657348632812,486.2981872558594,212.2899932861328,86.42845916748047,547.4591064453125,206.62054443359375,189.55999755859375,130.11016845703125,17.420000076293945,499.7649841308594,132.03817749023438,77.73133850097656,71.5199966430664,272.2646484375,423.05999755859375,145.70509338378906,330.787353515625,298.6499938964844,46.42695999145508,55.2590446472168,39.944793701171875,39.62351608276367,37.840667724609375,113.49764251708984,101.21106719970703,69.86457061767578,35.775997161865234,28.287982940673828,139.4149627685547,87.81877899169922,96.98109436035156,12.789999961853027
2024-02-09,187.32192993164062,162.50994873046875,107.55870056152344,627.2100219726562,153.73367309570312,172.47999572753906,273.6734619140625,181.69454956054688,174.4499969482422,208.578125,934.7540893554688,125.5041732788086,209.1999969482422,69.31647491455078,31.51932716369629,240.97999572753906,45.15803527832031,44.645904541015625,398.3599853515625,47147.19921875,50.86526107788086,308.2132873535156,322.878173828125,79.71943664550781,36.699668884277344,241.18231201171875,104.5160903930664,715.5405883789062,287.8031005859375,70.31101989746094,138.38661193847656,39.603031158447266,20.53003692626953,370.5627136230469,240.39645385742188,106.2413330078125,198.71151733398438,122.47000122070312,819.9168701171875,2487.515625,22.09565544128418,34.97980499267578,28.104934692382812,62.270748138427734,43.23097229003906,29.792943954467773,62.462432861328125,60.81709289550781,28.89841651916504,36.37984848022461,232.2447052001953,21.422229766845703,259.7757263183594,26.4648380279541,68.85276794433594,187.60000610351562,147.88262939453125,367.6683654785156,345.845458984375,361.09332275390625,68.74778747558594,87.74217987060547,50.35569381713867,42.862892150878906,649.7366943359375,388.2200012207031,194.83128356933594,147.43629455566406,82.99546813964844,167.66085815429688,56.138580322265625,408.86083984375,729.9161376953125,403.71844482421875,98.95414733886719,452.6794128417969,276.1793518066406,35.973731994628906,1742.260009765625,464.8627624511719,117.69230651855469,80.95753479003906,414.37176513671875,175.40780639648438,84.9177474975586,53.31593704223633,31.458744049072266,56.13199996948242,100.37962341308594,162.58799743652344,72.09284973144531,116.66726684570312,55.33555603027344,156.22434997558594,24.17936897277832,149.52601623535156,168.1434326171875,123.88877868652344,262.1318054199219,58.77412796020508,144.83767700195312,432.2757568359375,154.47216796875,948.161376953125,86.81501770019531,177.693359375,92.929931640625,90.72000122070312,75.72295379638672,44.76743698120117,20.68000030517578,133.0186309814453,489.10870361328125,218.75999450683594,86.25384521484375,547.320068359375,207.28736877441406,193.57000732421875,129.5069580078125,17.149999618530273,497.96807861328125,130.556396484375,77.81849670410156,71.66999816894531,272.90625,422.9100036621094,145.66683959960938,334.4620056152344,304.8900146484375,46.148494720458984,55.229679107666016,40.031463623046875,39.01470947265625,37.94747543334961,113.672607421875,102.57318115234375,69.22074127197266,35.869380950927734,28.396347045898438,139.3085479736328,88.44312286376953,94.928955078125,12.930000305175781
2024-02-10,187.32192993164062,162.50994873046875,107.55870056152344,627.2100219726562,153.73367309570312,172.47999572753906,273.6734619140625,181.69454956054688,174.4499969482422,208.578125,934.7540893554688,125.5041732788086,209.1999969482422,69.31647491455078,31.51932716369629,240.97999572753906,45.15803527832031,44.645904541015625,398.3599853515625,47771.27734375,50.86526107788086,308.2132873535156,322.878173828125,79.71943664550781,36.699668884277344,241.18231201171875,104.5160903930664,715.5405883789062,287.8031005859375,70.31101989746094,138.38661193847656,39.603031158447266,20.53003692626953,370.5627136230469,240.39645385742188,106.2413330078125,198.71151733398438,122.47000122070312,819.9168701171875,2501.228271484375,22.09565544128418,34.97980499267578,28.104934692382812,62.270748138427734,43.23097229003906,29.792943954467773,62.462432861328125,60.81709289550781,28.89841651916504,36.37984848022461,232.2447052001953,21.422229766845703,259.7757263183594,26.4648380279541,68.85276794433594,187.60000610351562,147.88262939453125,367.6683654785156,345.845458984375,361.09332275390625,68.74778747558594,87.74217987060547,50.35569381713867,42.862892150878906,649.7366943359375,388.2200012207031,194.83128356933594,147.43629455566406,82.99546813964844,167.66085815429688,56.138580322265625,408.86083984375,729.9161376953125,403.71844482421875,98.95414733886719,452.6794128417969,276.1793518066406,35.973731994628906,1742.260009765625,464.8627624511719,117.69230651855469,80.95753479003906,414.37176513671875,175.40780639648438,84.9177474975586,53.31593704223633,31.458744049072266,56.13199996948242,100.37962341308594,162.58799743652344,72.09284973144531,116.66726684570312,55.33555603027344,156.22434997558594,24.17936897277832,149.52601623535156,168.1434326171875,123.88877868652344,262.1318054199219,58.77412796020508,144.83767700195312,432.2757568359375,154.47216796875,948.161376953125,86.81501770019531,177.693359375,92.929931640625,90.72000122070312,75.72295379638672,44.76743698120117,20.68000030517578,133.0186309814453,489.10870361328125,218.75999450683594,86.25384521484375,547.320068359375,207.28736877441406,193.57000732421875,129.5069580078125,17.149999618530273,497.96807861328125,130.556396484375,77.81849670410156,71.66999816894531,272.90625,422.9100036621094,145.66683959960938,334.4620056152344,304.8900146484375,46.148494720458984,55.229679107666016,40.031463623046875,39.01470947265625,37.94747543334961,113.672607421875,102.57318115234375,69.22074127197266,35.869380950927734,28.396347045898438,139.3085479736328,88.44312286376953,94.928955078125,12.930000305175781
2024-02-11,187.32192993164062,162.50994873046875,107.55870056152344,627.2100219726562,153.73367309570312,172.47999572753906,273.6734619140625,181.69454956054688,174.4499969482422,208.578125,934.7540893554688,125.5041732788086,209.1999969482422,69.31647491455078,31.51932716369629,240.97999572753906,45.15803527832031,44.645904541015625,398.3599853515625,48293.91796875,50.86526107788086,308.2132873535156,322.878173828125,79.71943664550781,36.699668884277344,241.18231201171875,104.5160903930664,715.5405883789062,287.8031005859375,70.31101989746094,138.38661193847656,39.603031158447266,20.53003692626953,370.5627136230469,240.39645385742188,106.2413330078125,198.71151733398438,122.47000122070312,819.9168701171875,2507.570556640625,22.09565544128418,34.97980499267578,28.104934692382812,62.270748138427734,43.23097229003906,29.792943954467773,62.462432861328125,60.81709289550781,28.89841651916504,36.37984848022461,232.2447052001953,21.422229766845703,259.7757263183594,26.4648380279541,68.85276794433594,187.60000610351562,147.88262939453125,367.6683654785156,345.845458984375,361.09332275390625,68.74778747558594,87.74217987060547,50.35569381713867,42.862892150878906,649.7366943359375,388.2200012207031,194.83128356933594,147.43629455566406,82.99546813964844,167.66085815429688,56.138580322265625,408.86083984375,729.9161376953125,403.71844482421875,98.95414733886719,452.6794128417969,276.1793518066406,35.973731994628906,1742.260009765625,464.8627624511719,117.69230651855469,80.95753479003906,414.37176513671875,175.40780639648438,84.9177474975586,53.31593704223633,31.458744049072266,56.13199996948242,100.37962341308594,162.58799743652344,72.09284973144531,116.66726684570312,55.33555603027344,156.22434997558594,24.17936897277832,149.52601623535156,168.1434326171875,123.88877868652344,262.1318054199219,58.77412796020508,144.83767700195312,432.2757568359375,154.47216796875,948.161376953125,86.81501770019531,177.693359375,92.929931640625,90.72000122070312,75.72295379638672,44.76743698120117,20.68000030517578,133.0186309814453,489.10870361328125,218.75999450683594,86.25384521484375,547.320068359375,207.28736877441406,193.57000732421875,129.5069580078125,17.149999618530273,497.96807861328125,130.556396484375,77.81849670410156,71.66999816894531,272.90625,422.9100036621094,145.66683959960938,334.4620056152344,304.8900146484375,46.148494720458984,55.229679107666016,40.031463623046875,39.01470947265625,37.94747543334961,113.672607421875,102.57318115234375,69.22074127197266,35.869380950927734,28.396347045898438,139.3085479736328,88.44312286376953,94.928955078125,12.930000305175781
2024-02-12,185.63568115234375,161.56707763671875,108.25135040283203,611.8400268554688,153.0516357421875,171.91000366210938,276.78509521484375,179.1995849609375,172.33999633789062,211.1872100830078,914.682861328125,123.70097351074219,209.3300018310547,70.3944320678711,32.04353713989258,244.74000549316406,45.10363006591797,44.69181823730469,397.7099914550781,49958.22265625,50.79930877685547,312.55718994140625,325.11468505859375,79.81493377685547,37.170738220214844,246.0388946533203,104.45967102050781,714.561279296875,283.8709411621094,71.20466613769531,139.33949279785156,39.67146682739258,20.44658088684082,378.434814453125,244.23568725585938,107.12349700927734,198.96633911132812,128.89999389648438,814.37890625,2658.115966796875,22.07697105407715,35.085693359375,28.172149658203125,62.58850860595703,43.38837814331055,29.746753692626953,62.5736083984375,61.5621452331543,29.152912139892578,36.70119094848633,233.9868927001953,21.76712989807129,259.1025390625,26.778844833374023,69.58177185058594,187.11000061035156,146.42367553710938,375.68658447265625,348.0358581542969,359.98162841796875,68.59671783447266,87.82577514648438,49.91884994506836,43.57545852661133,648.5817260742188,382.1300048828125,198.36944580078125,148.4614715576172,82.80276489257812,168.4080810546875,56.270530700683594,409.0460205078125,727.0563354492188,405.2045593261719,98.96330261230469,453.4999694824219,276.15069580078125,36.556724548339844,1733.22998046875,465.64727783203125,117.589111328125,81.88126373291016,409.15948486328125,174.37579345703125,85.05669403076172,54.22998046875,32.19747543334961,55.78499984741211,102.95394897460938,157.47000122070312,72.20777130126953,116.02232360839844,55.874752044677734,158.9636688232422,24.267105102539062,149.23155212402344,167.81214904785156,123.48664855957031,259.61260986328125,59.95140838623047,146.85195922851562,430.58441162109375,154.46241760253906,941.83642578125,87.41930389404297,175.57923889160156,91.18212890625,89.12000274658203,75.73218536376953,45.775367736816406,20.760000228881836,131.90509033203125,488.8940124511719,216.1699981689453,86.35494232177734,543.4542236328125,207.470947265625,188.1300048828125,126.9286880493164,16.170000076293945,497.4107666015625,131.61865234375,77.7603988647461,72.11000061035156,271.56365966796875,418.5299987792969,146.49842834472656,332.5404968261719,299.0899963378906,46.97429656982422,55.562461853027344,40.3492546081543,39.44556427001953,38.122257232666016,113.83783721923828,101.79342651367188,69.71307373046875,35.75731658935547,28.726154327392578,139.49234008789062,88.36939239501953,96.23486328125,13.930000305175781
